step,tokens,train_loss,val_loss,lr,tok_per_sec
5010,1313341440,3.1666,,2.921557e-04,127491
5020,1315962880,3.1575,,2.921169e-04,126017
5030,1318584320,3.1605,,2.920780e-04,125665
5040,1321205760,3.1612,,2.920390e-04,125526
5050,1323827200,3.1763,,2.919999e-04,125404
5060,1326448640,3.1483,,2.919608e-04,125511
5070,1329070080,3.1771,,2.919215e-04,125602
5080,1331691520,3.1606,,2.918822e-04,125358
5090,1334312960,3.1847,,2.918427e-04,125547
5100,1336934400,3.1573,,2.918032e-04,125459
5110,1339555840,3.1403,,2.917635e-04,125594
5120,1342177280,3.1601,,2.917238e-04,125410
5130,1344798720,3.1399,,2.916840e-04,125602
5140,1347420160,3.1926,,2.916441e-04,125242
5150,1350041600,3.1273,,2.916041e-04,125424
5160,1352663040,3.1487,,2.915640e-04,125403
5170,1355284480,3.1720,,2.915238e-04,125403
5180,1357905920,3.1521,,2.914835e-04,125446
5190,1360527360,3.1340,,2.914432e-04,125384
5200,1363148800,3.1463,,2.914027e-04,125574
5210,1365770240,3.1335,,2.913622e-04,125482
5220,1368391680,3.1554,,2.913215e-04,125407
5230,1371013120,3.1073,,2.912808e-04,125476
5240,1373634560,3.1654,,2.912399e-04,125510
5250,1376256000,3.1469,,2.911990e-04,125514
5260,1378877440,3.1857,,2.911580e-04,125381
5270,1381498880,3.1718,,2.911169e-04,125415
5280,1384120320,3.1611,,2.910757e-04,125446
5290,1386741760,3.1337,,2.910344e-04,125480
5300,1389363200,3.1501,,2.909930e-04,125447
5310,1391984640,3.1751,,2.909515e-04,123815
5320,1394606080,3.1526,,2.909100e-04,124557
5330,1397227520,3.1683,,2.908683e-04,124872
5340,1399848960,3.1861,,2.908265e-04,122066
5350,1402470400,3.1474,,2.907847e-04,124822
5360,1405091840,3.1460,,2.907428e-04,124884
5370,1407713280,3.1590,,2.907007e-04,125027
5380,1410334720,3.1368,,2.906586e-04,124784
5390,1412956160,3.1376,,2.906164e-04,124814
5400,1415577600,3.1202,,2.905741e-04,124868
5410,1418199040,3.1474,,2.905317e-04,122050
5420,1420820480,3.1216,,2.904892e-04,125148
5430,1423441920,3.1397,,2.904466e-04,125641
5440,1426063360,3.1515,,2.904040e-04,125467
5450,1428684800,3.1372,,2.903612e-04,125282
5460,1431306240,3.1476,,2.903184e-04,125145
5470,1433927680,3.1588,,2.902754e-04,125331
5480,1436549120,3.1555,,2.902324e-04,125511
5490,1439170560,3.1604,,2.901893e-04,125396
5500,1441792000,3.1359,,2.901460e-04,125397
5500,1441792000,,3.1371,2.901460e-04,
5510,1444413440,3.1089,,2.901027e-04,127005
5520,1447034880,3.1436,,2.900593e-04,125429
5530,1449656320,3.1594,,2.900158e-04,124843
5540,1452277760,3.1501,,2.899723e-04,124628
5550,1454899200,3.1447,,2.899286e-04,124952
5560,1457520640,3.1474,,2.898848e-04,124792
5570,1460142080,3.1469,,2.898410e-04,124859
5580,1462763520,3.1176,,2.897970e-04,124887
5590,1465384960,3.1411,,2.897530e-04,124757
